Distance,Count
0.0342327,0
0.102698,0
0.171163,0
0.239629,0
0.308094,0
0.376559,0
0.445025,0
0.51349,0
0.581955,0
0.650421,0
0.718886,0
0.787351,0
0.855816,0.008
0.924282,5.976
0.992747,84.584
1.06121,176.592
1.12968,165.996
1.19814,124.368
1.26661,87.8
1.33507,64.512
1.40354,50.896
1.472,42.992
1.54047,37.944
1.60894,36.672
1.6774,38.844
1.74587,46.748
1.81433,62.52
1.8828,83.492
1.95126,107.344
2.01973,136.276
2.08819,161.74
2.15666,170.66
2.22512,166.336
2.29359,151.356
2.36205,135.208
2.43052,118.532
2.49898,104.54
2.56745,95.904
2.63591,93.412
2.70438,96.076
2.77285,106.436
2.84131,124.2
2.90978,144.912
2.97824,167.456
3.04671,184.116
3.11517,197.428
3.18364,201.716
3.2521,200.108
3.32057,196.276
3.38903,185.492
3.4575,176.668
3.52596,166.036
3.59443,158.572
3.66289,158.156
3.73136,162.052
3.79983,171.988
3.86829,184.216
3.93676,199.156
4.00522,214.02
4.07369,227.796
4.14215,237.984
4.21062,243.44
4.27908,242.64
4.34755,243.044
4.41601,236.32
4.48448,229.684
4.55294,225.824
4.62141,221.632
4.68987,223.368
4.75834,224.688
4.82681,231.296
4.89527,238.796
4.96374,252.164
5.0322,261.592
5.10067,273.54
5.16913,281.856
5.2376,289.836
5.30606,293.288
5.37453,290.768
5.44299,287.42
5.51146,283.296
5.57992,282.252
5.64839,281.572
5.71685,283.084
5.78532,284.688
5.85378,287.992
5.92225,295.82
5.99072,306.308
6.05918,313.044
6.12765,322.408
6.19611,327.804
6.26458,332.32
6.33304,337.744
6.40151,342.128
6.46997,340.144
6.53844,339.692
6.6069,337.132
6.67537,341.34
6.74383,343.184
6.8123,343.836
